Address,Full Address,Name,Date,Architect,Builder,Style,Link,Notes,Photo,Marker
111 Country Club Rd,"111 Country Club Rd, Ithaca, NY 14850",Hulburt House; Ecology House; Former Cornell Residential Club,1970,,,Contemporary,,"Dormitory, Public Sites",http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwManQxOEdUQ0poM0E&export=download,
111 Highgate Pl,"111 Highgate Pl, Ithaca, NY 14850",,1959,,,Cape Cod,,,http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMU3hPWGlPWU5Jekk&export=download,
111 Midway Rd,"111 Midway Rd, Ithaca, NY 14850",,1941,,,Colonial,,,http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMbWdZVGVOY3cxNUk&export=download,
111 North Sunset Dr,"111 North Sunset Dr, Ithaca, NY 14850",,1942,,,Ranch,,,http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMNVZ1UTVQeklnelU&export=download,
111 Northway Rd,"111 Northway Rd, Ithaca, NY 14850",,1939,,,Colonial,,,http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMX2RtQ1Z3clMzZlE&export=download,
111 Oak Hill Rd,"111 Oak Hill Rd, Ithaca, NY 14850",,1921,,,Craftsman,,"In 1913, Jane McKelway (1892-1993) graduated from Cornell University and taught English and French at the Cascadilla School. In 1919, she purchased a triangular lot in the White Park section of Cayuga Heights and moved into the newly built home in 1921 with her husband, civil engineering professor Leonard C. Urquhart (1886-1960), and their two-year-old son Edmund. The family lived in the home for only two years. In 1923, the Urquharts sold the home to Paul M. Lincoln, who had been appointed director of Cornell's electrical engineering department (see 520 Cayuga Heights Road).",http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMSGRQOHpkeGxsN1E&export=download,
111 Randolph Rd,"111 Randolph Rd, Ithaca, NY 14850",,1960,,,Colonial,,,http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMLXJNV1pDZV9aQ1k&export=download,
111 East Remington Rd ,"111 East Remington Rd, Ithaca, NY 14850",,1946,,,Colonial,,,http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMSUxRMjRodEpERnM&export=download,
111 Sheldon Rd,"111 Sheldon Rd, Ithaca, NY 14850",,1978,,,Ranch,,,http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMeF8zM1NDM1pMUmc&export=download,
111 Simsbury Dr,"111 Simsbury Dr, Ithaca, NY 14850",,1973,,,Colonial,,,http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMa2hBQmFwbkk2MHM&export=download,
111 The Parkway,"111 The Parkway, Ithaca, NY 14850","former, Robert Bush Farmhouse",1834,,,Greek Revival Farm House,,"Robert Bush bought 57 ½ acres from Israel and Anna Shafer in 1834. The farmhouse was built in the same year.  Robert and Sally (Manning) Bush's son Isaac Bush took over the property in 1877. In 1879, the farm produced butter, wool, corn, oats, wheat, and potatoes. In 1916 the house was sold by Jared and Jane Newman to David C. Gillespie, professor of mathematics at Cornell. The Gillespies installed an extensive perennial garden designed in 1934 by landscape architect Edward Lawson. Much of the original garden has been maintained to this day. (Notable Architecture)",http://docs.google.com/uc?authuser=0&id=0B3Dz3xQqxQ8rVHhMTV9RS2l2MEk&export=download,
111 Warwick Pl,"111 Warwick Pl, Ithaca, NY 14850",,1961,,,Split Level,,,http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMVVBrV3BhUnlMWWs&export=download,
111 White Park Rd,"111 White Park Rd, Ithaca, NY 14850",,1937,,,Colonial,,,http://docs.google.com/uc?authuser=0&id=0B4mZNbHgzx_LV0Y0dFJPTzFSdm8&export=download,
1111 East Shore Drive,"1111 East Shore Drive, Ithaca, NY 14850",,land only,,,land only,,,http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMczlIOVRfWUg5NzA&export=download,
1111 Triphammer Rd,"1111 Triphammer Rd, Ithaca, NY 14850",,1947,,,Split Level,,,http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMQUJmQUxBR2dNOW8&export=download,
112 Comstock Rd,"112 Comstock Rd, Ithaca, NY 14850",,1938,Carl C. Tallman,,Colonial,https://en.wikipedia.org/wiki/Peter_Debye,From 1942-1944 the home of physicist and Nobel Prize winner Peter Debye from 1951 to 1976. Debye is buried nearby at Pleasant Grove Cemetery. (Major Award Winners),http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMLWZuR0tCTFZNVVE&export=download,
112 Corson Place,"112 Corson Place, Ithaca, NY 14850",,1955,,,Ranch,,,http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMSnZVcGh1Smx2VFk&export=download,
112 Midway Rd,"112 Midway Rd, Ithaca, NY 14850",,1940,,,Colonial,,,http://docs.google.com/uc?authuser=0&id=0B4mZNbHgzx_LdUVwbW9CM2NXSjQ&export=download,
112 North Sunset Dr,"112 North Sunset Dr, Ithaca, NY 14850",,1955,,,Ranch,,,http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMY0FQZl9oN1BNb00&export=download,
112 Oak Hill Rd,"112 Oak Hill Rd, Ithaca, NY 14850",,1932,J. Lakin Baldridge?,,Colonial,http://cayugaheightshistory.weebly.com/112-oak-hill-road.html,"Former home of Cayuga Heights mayor, Frederick Marcham. Though built during the Great Depression, the house is so solid, it still retains its structural integrity, and was built with extra thick walls. While millions lost their jobs and their money in the Crash, Cornell faculty salaries were cut only 6-10%, leaving them with the means to hire the available labor to continue to build comfortable homes. 
 
 Initially, garages in the Heights were required to face away from the street, however, people often did not even have a car. Since that time, most garages have been changed to face the street, and many have been expanded to fit two cars and now, recycling bins. 
 
 Of living in this area in the 1930s, Marcham writes in his account, ""Memories of Cayuga Heights, N.Y.,"" of a ""typical Cayuga Heights Street"": ""My wife and I had chosen a place in Oak Hill Road that would allow our children a half mile walk to school and give me a one mile walk to the Cornell campus. For the walk I had friends; two of my neighbors joined me in walking, and one of them, like myself, owned no car....Their wives walked down Oak Hill Road westward to Highland Road and then south to the bus stop on Thurston Avenue. For a time, in the 1930s, milkmen and men who delivered ice, and the leading grocers in Ithaca, allowed us to order goods and brought them to us and to other persons around the City of Ithaca. If you were sick you would not go to the doctor; he or she came to you, the doctor with the little black bag. And once or twice a year the coalman came and poured tons of coal down a chute into your cellar."" (Village History)",http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMdlBWMG5FZmY0T3M&export=download,
112 Randolph Rd,"112 Randolph Rd, Ithaca, NY 14850",,1962,,,Raised Ranch,,,http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMTkY4Y2ZDaERtczA&export=download,
112 Sheldon Rd,"112 Sheldon Rd, Ithaca, NY 14850",,1957,,,Raised Ranch,,,http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMcWx5bGliVWFvbTQ&export=download,
112 Simsbury Dr,"112 Simsbury Dr, Ithaca, NY 14850",,1972,,,Colonial,,,http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMSzk3YUR2MmxGV0k&export=download,
112 The Parkway,"112 The Parkway, Ithaca, NY 14850",,1924,,,Colonial,,"Home of Manhattan Project physicist, Marshall Holloway (1941).",http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMTmxqc0dQVXdyZDg&export=download,
112 Warwick Pl,"112 Warwick Pl, Ithaca, NY 14850",,1963,,,Cape Cod,,,http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMZ1owSkpKRjdZcUk&export=download,
113 Highgate Pl,"113 Highgate Pl, Ithaca, NY 14850",,1964,,,Ranch,,,http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMV2xOTzEyUkxOUWM&export=download,
113 Randolph Rd,"113 Randolph Rd, Ithaca, NY 14850",,1961,,,Split Level,,,http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMNUNwY2sya1ZfbUU&export=download,
113 Simsbury Dr,"113 Simsbury Dr, Ithaca, NY 14850",,1973,,,Split Level,,,http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMYlhsREh2TVhUSmM&export=download,
113 Texas Lane,"113 Texas Lane, Ithaca, NY 14850",,1952,,,Ranch,,,http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMZl9PMmJaTGlCeTA&export=download,
113 Warwick Place,"113 Warwick Place, Ithaca, NY 14850",,1962,,,Split Level,,,http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMRzBXbGFCVEx3bFU&export=download,
113 East Upland Rd ,"113 East Upland Rd , Ithaca, NY 14850",,1915,,,Craftsman,https://en.wikipedia.org/wiki/Kenneth_G._Wilson,"Home to physicist and Nobel Prize winner Kenneth G. Wilson.(Notable Architecture, Ithaca Poet Laureate, Major Award Winners, Writers)",http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMU1JVenVJSm91SjA&export=download,
114 Cambridge Pl,"114 Cambridge Pl, Ithaca, NY 14850",,1980,,,Colonial,,,http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMaC1OVnhvQkp6Szg&export=download,
114 Lexington Dr,"114 Lexington Dr, Ithaca, NY 14850",,1987,,,Colonial,,,http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMWHZzZ2E1YjRZcXM&export=download,
114 Overlook Rd,"114 Overlook Rd, Ithaca, NY 14850",,1922-23,,,Queen Anne,,,http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMUTJESGdRYjRQNnc&export=download,
114 Randolph Rd,"114 Randolph Rd, Ithaca, NY 14850",,1962,,,Split Level,,,http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMWmdGQk9ITnVwQTA&export=download,
114 Simsbury Dr,"114 Simsbury Dr, Ithaca, NY 14850",,1972,,,Split Level,,,http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMczdYTHNtcmx0NnM&export=download,
114 Texas Lane,"114 Texas Lane, Ithaca, NY 14850",,1956,,,Raised Ranch,,,http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMd2NpOV9DamxHSlE&export=download,
114 The Parkway,"114 The Parkway, Ithaca, NY 14850",,1920,,,Craftsman,,,http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMRHJXLWVtT3pzUHc&export=download,
114 Warwick Pl,"114 Warwick Pl, Ithaca, NY 14850",,1961,,,Colonial,,,http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMeHBndFhETVJxdlU&export=download,
115 Cambridge Pl,"115 Cambridge Pl, Ithaca, NY 14850",,1981,,,Cape Cod,,,http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMMlo5am9Xcl9oVTA&export=download,
115 Cayuga Heights Rd,"115 Cayuga Heights Rd, Ithaca, NY 14850",,1926,Helen Binkerd Young (?),,Queen Anne,,,http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMUjA1LVBkYkV5S00&export=download,
115 Cayuga Park Circle,"115 Cayuga Park Circle, Ithaca, NY 14850",,1961,,,Colonial,,,http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMR3d2S1pqMTZYLTg&export=download,
115 Hanshaw Rd,"115 Hanshaw Rd, Ithaca, NY 14850",,1939,,,Colonial,,,http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMNGFOZkN2MVEtbWc&export=download,
115 Highgate Pl,"115 Highgate Pl, Ithaca, NY 14850",,1960,,,Ranch,,,http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMcUJPakwzZ0NKRUU&export=download,
115 Midway Rd,"115 Midway Rd, Ithaca, NY 14850",,1961,,,Split Level,,,http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMaVNYQ0F0Vm5xMUU&export=download,
115 North Sunset Dr,"115 North Sunset Dr, Ithaca, NY 14850",,1960,,,Ranch,,,http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMenNJTVUwNE9qbDA&export=download,
115 Northway Rd,"42.4659574606052,-76.4846616653138",,1938,,,Cape Cod,,,http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMUHJxLXBoRUFKUUk&export=download,
115 Oak Hill Rd,"115 Oak Hill Rd, Ithaca, NY 14850",,1924,,,Colonial,,,http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMQk5UVXphNmNHVGc&export=download,
115 Randolph Rd,"115 Randolph Rd, Ithaca, NY 14850",,1963,,,Cape Cod,,,http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMMFZsOTl4NElFcHc&export=download,
115 Ridgewood Rd,"115 Ridgewood Rd, Ithaca, NY 14850",Sigma Delta Tau,1941,Carl Tallman,,Inn/Lodge,,"Sorority, Public Sites",http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMSExzRXVWeVBWLXM&export=download,
115 Sheldon Rd,"42.463663, -76.481288",,1985,,,Contemporary,,,http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMUGU5bHd6SC1tNms&export=download,
115 Simsbury Dr,"115 Simsbury Dr, Ithaca, NY 14850",,1972,,,Colonial,,,http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMdHk2Y2V4Z25yU0E&export=download,
115 East Upland Rd ,"115 East Upland Rd, Ithaca, NY 14850",,1930,,,Craftsman,,,http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMZmptSktPT0M5Mms&export=download,
115 Warwick Pl,"115 Warwick Pl, Ithaca, NY 14850",,1961,,,Raised Ranch,,,http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMRzZiMElRZ0tNcFE&export=download,
116 North Sunset Dr,"116 North Sunset Dr, Ithaca, NY 14850",,1958,,,Cape Cod,,,http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMTkI0YVpaVVY0T0U&export=download,
116 Randolph Rd,"116 Randolph Rd, Ithaca, NY 14850",,1962,,,Colonial,,,http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMXzc4SnlGdXpYN1E&export=download,
116 Simsbury Dr,"116 Simsbury Dr, Ithaca, NY 14850",,1968,,,Raised Ranch,,,http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMYUlBZmk3WUQ2TUE&export=download,
116 Texas Lane,"116 Texas Lane, Ithaca, NY 14850",,1951,,,Ranch,,"Home to Ronald Anderson, former Mayor of Cayuga Heights.",http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMWHVGS2tmMDRxWXc&export=download,
116 The Parkway,"116 The Parkway, Ithaca, NY 14850",,1920,,,Queen Anne,,,http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMZEg5cWMxM1JVSHc&export=download,
116 Warwick Pl,"116 Warwick Pl, Ithaca, NY 14850",,1963,,,Colonial,,,http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMRVVmTUppc0JNcEU&export=download,
117 Cayuga Park Rd,"117 Cayuga Park Rd, Ithaca, NY 14850",,1949,,,Contemporary,,,http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMVXd1U2dmUWY4ZTA&export=download,
117 North Sunset Dr,"117 North Sunset Dr, Ithaca, NY 14850",,1952,,,Ranch,,"Home of Nobel Prize winner Robert W. Holley (1964-8), instrumental in first chemical synthesis of penicillin. Also home to Magdalen Flexner, Ambassador to France, and William Flexner, mathematician. (Major Award Winners, Notable Women)",http://docs.google.com/uc?authuser=0&id=0B4mZNbHgzx_LeDBISzVXbDNSRGc&export=download,
117 Oak Hill Rd,"117 Oak Hill Rd, Ithaca, NY 14850",,1931,LeRoy Burnham,,Cape Cod,,,http://docs.google.com/uc?authuser=0&id=0B3Dz3xQqxQ8rcHJ2eHU5SDRKU0E&export=download,
117 Randolph Rd,"117 Randolph Rd, Ithaca, NY 14850",,1961,,,Colonial,,,http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMRnZpZGQtQXdQMzg&export=download,
117 East Remington Rd ,"117 East Remington Rd, Ithaca, NY 14850",,1965,,,Ranch,,,http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMYm9aS2VGQVFPVXc&export=download,
117 Simsbury Dr,"117 Simsbury Dr, Ithaca, NY 14850",,1972,,,Colonial,,,http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMMndicWwxcktmOG8&export=download,
117 Texas Lane,"117 Texas Lane, Ithaca, NY 14850",,1958,,,Ranch,,,http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMdEVkclRaa1l1NUk&export=download,
117 The Parkway,"117 The Parkway, Ithaca, NY 14850",,1916,,,Craftsman,,,http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMTFM2bm9QeVFZMU0&export=download,
117 Warwick Pl,"117 Warwick Pl, Ithaca, NY 14850",,1960,,,Split Level,,,http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMWnI4ZlFvWWVWNVE&export=download,
118 Cambridge Pl,"118 Cambridge Pl, Ithaca, NY 14850",,1981,,,Colonial,,,http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMUzlhNXcyU0Y4TWc&export=download,
118 Lexington Dr,"118 Lexington Dr, Ithaca, NY 14850",,1986,,,Cape Cod,,,http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMVS1tNVNJSktNMjQ&export=download,
118 North Sunset Dr,"118 North Sunset Dr, Ithaca, NY 14850",,1957,,,Ranch,,,http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMemhTVy05clp6Vzg&export=download,
118 Oak Hill Rd,"118 Oak Hill Rd, Ithaca, NY 14850",,1927,,,Colonial,http://cayugaheightshistory.weebly.com/118-oak-hill-rd.html,"Home to Alfred Kahn, economist in the Carter Administration.",http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMWWtyV1E2eG9xWTA&export=download,
118 Randolph Rd,"118 Randolph Rd, Ithaca, NY 14850",,1959,,,Split Level,,,http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMZnBjTW45NkZnZE0&export=download,
118 Simsbury Dr,"118 Simsbury Dr, Ithaca, NY 14850",,1973,,,Colonial,,,http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMOVVzelA2NjJxVzA&export=download,
118 Texas Lane,"118 Texas Lane, Ithaca, NY 14850",,1954,,,Ranch,,,http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMUEw0T1pRNWdhdlU&export=download,
118 West Upland Rd ,"118 West Upland Rd , Ithaca, NY 14850",,1949,,Erma Cicchetti,Ranch,,,http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMMXlZMXZuNUJpMHc&export=download,
118 Warwick Pl,"118 Warwick Pl, Ithaca, NY 14850",,1961,,,Ranch,,,http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMT1FpSU5QOERtSk0&export=download,
119 Cambridge Pl,"119 Cambridge Pl, Ithaca, NY 14850",,1982,,,Colonial,,,http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMbjJuWnNzY3YyUG8&export=download,
119 North Sunset Dr,"119 North Sunset Dr, Ithaca, NY 14850",,1958,,,Ranch,,,http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMMzZxbkFTS2dzVm8&export=download,
119 Oak Hill Rd,"119 Oak Hill Rd, Ithaca, NY 14850",,1928,,,Colonial,,,http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMOUFaMFA1bl9zeWc&export=download,
119 The Parkway,"119 The Parkway, Ithaca, NY 14850",,1930,,,Colonial,,,http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMUnQyT2kyZXNmWFk&export=download,
119 East Upland Rd ,"119 East Upland Rd , Ithaca, NY 14850",,1932,Hubert Baxter,,Colonial,,This house was designed and occupied by Cornell architecture professor Herbert Baxter. He designed it for both maximum natural light and maximum privacy. Baxter also served as Mayor of Cayga Heights for six years. (Notable Architecture),http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMU1VCUXBVVDBKc2s&export=download,
119 Warwick Pl,"119 Warwick Pl, Ithaca, NY 14850",,1959,,,Colonial,,,http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMbTJ0bUdUUHlMNmM&export=download,
12 Lowell Pl,"12 Lowell Pl, Ithaca, NY 14850",,1986,,,Contemporary,,,http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMdURYdXp1TFZJRnc&export=download,
120 Cayuga Park Rd,"42.468861, -76.493998",,1983,,,Ranch,,,http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMMFBzMHc3MWQxYlU&export=download,
120 Highgate Rd,"120 Highgate Rd, Ithaca, NY 14850",,1961,,,Split Level,,,http://docs.google.com/uc?authuser=0&id=0B4mZNbHgzx_LQkp0c3J3LVpiY2s&export=download,
120 Randolph Rd,"120 Randolph Rd, Ithaca, NY 14850",,1961,,,Split Level,,,http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMcWlqbk0tWVJZN1k&export=download,
120 Sunset Dr,"120 Sunset Dr, Ithaca, NY 14850",,1930,LeRoy Burnham,,English Cottage Revival,,"Home of architect and Cornell University architecture professor LeRoy Burnham, who designed the European-inspired residence for his family (Notable Architecture)",http://docs.google.com/uc?authuser=0&id=0B4mZNbHgzx_LRnBmWUt4Nm5lbFU&export=download,
120 Warwick Pl,"120 Warwick Pl, Ithaca, NY 14850",,1962,,,Cape Cod,,,http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMcnNDYkFwV1VkOWM&export=download,
120 White Park Rd,"120 White Park Rd, Ithaca, NY 14850",,1922,Clinton Vivian,,Colonial,,,http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMZnU1THQ3ZGcxWHc&export=download,
121 Cayuga Park Rd,"121 Cayuga Park Rd, Ithaca, NY 14850",,1916,1941 additions by Carl Tallman,,Craftsman,,,http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMMjVKZTgxdmk0Z3M&export=download,
121 North Sunset Dr,"121 North Sunset Dr, Ithaca, NY 14850",,1949,,,Cape Cod,,,http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMTUlORXBlWjE3NEk&export=download,
121 East Remington Rd ,"121 East Remington Rd, Ithaca, NY 14850",,1928,,,Colonial,,Home to Abstract Expressionist artist Robert Richenburg. His work is in collections such as the Whitney Museum of Art and MoMA in New York. His wife was a local school teacher. (Artists),http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMZHhNMTExS3hKbDA&export=download,
121 Sheldon Rd,"121 Sheldon Rd, Ithaca, NY 14850",Water Supply,,,,,,,http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMZ1J5OG04Vl9EX1U&export=download,
121 Texas Lane,"121 Texas Lane, Ithaca, NY 14850",,1952,,,Colonial,,,http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMWkltci1YaXZhTEU&export=download,
122 Cambridge Pl,"122 Cambridge Pl, Ithaca, NY 14850",,1983,,,Raised Ranch,,,http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMQTV5elVUSkptckU&export=download,
122 Lexington Dr,"122 Lexington Dr, Ithaca, NY 14850",,1986,,,Colonial,,,http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMbWtlV0JPSnBpVm8&export=download,
122 North Sunset Dr,"122 North Sunset Dr, Ithaca, NY 14850",,1961,,,Ranch,,,http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMVUhKWHhOanRLcTA&export=download,
122 Randolph Rd,"122 Randolph Rd, Ithaca, NY 14850",,1960,,,Split Level,,,http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMZmIxbDdXWUlkcDg&export=download,
122 East Remington Rd ,"122 East Remington Rd, Ithaca, NY 14850",,1962,,,Split Level,,,http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMb19GbFB5VUtSVE0&export=download,
122 Texas Lane,"122 Texas Lane, Ithaca, NY 14850",,1952,,,Colonial,,,http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMSmxLNzU4V0ZLZm8&export=download,
122 West Upland Rd ,"122 West Upland Rd, Ithaca, NY 14850",,1962,,,Raised Ranch,,,http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMNU1rSkFQcFZxblk&export=download,
122 Wait Ave,"122 Wait Ave, Ithaca, NY 14850",,1915,,,Colonial,,"Home to Robert Ehrenfeld, chemist and Manhattan Project scientist.",http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMU2VlNTZnMjVKVlU&export=download,small_blue
123 Cambridge Pl,"123 Cambridge Pl, Ithaca, NY 14850",,1983,,,Colonial,,,http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMXy1UMzNCTWpJdE0&export=download,
123 North Sunset Dr,"123 North Sunset Dr, Ithaca, NY 14850",,1946,,,Colonial,,,http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMRWR3ZTZuTmZRdTg&export=download,
123 Sheldon Rd,"123 Sheldon Rd, Ithaca, NY 14850",Cayuga Heights Village Barn,,,,,,,http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMNk9GQ3AyZzkyTGc&export=download,
124 North Sunset Dr,"124 North Sunset Dr, Ithaca, NY 14850",,1958,,,Ranch,,,http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMVWEzTlhuRG1TUEU&export=download,
124 Randolph Rd,"124 Randolph Rd, Ithaca, NY 14850",,1962,,,Colonial,,,http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMSFhNRmlMbTM3NHc&export=download,
124 East Remington Rd ,"124 East Remington Rd, Ithaca, NY 14850",,1967,,,Colonial,,,http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMdEhHT3ZpdERtUkk&export=download,
125 Cayuga Park Rd,"125 Cayuga Park Rd, Ithaca, NY 14850",,1958,,,Split Level,,,http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMVHMwc1VaNGlDRjg&export=download,
125 North Sunset Dr,"125 North Sunset Dr, Ithaca, NY 14850",,1966,,,Ranch,,,http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMVHhmNk5lQ3N3cm8&export=download,
125 East Remington Rd ,"125 East Remington Rd, Ithaca, NY 14850",,1965,,,Raised Ranch,,,http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMTy10N2NnRlAtT1U&export=download,
125 Sunset Dr,"125 Sunset Dr, Ithaca, NY 14850",,1934,,,Colonial,,,http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMVEF3TVNWUWdqQms&export=download,
125 Texas Lane,"125 Texas Lane, Ithaca, NY 14850",,1959,,,Ranch,,,http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMZXBoTjcwRDcxWlk&export=download,
126 Cambridge Pl,"126 Cambridge Pl, Ithaca, NY 14850",,1983,,,Colonial,,,http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMbFdhZzdMOG1YTEE&export=download,
126 Lexington Dr,"126 Lexington Dr, Ithaca, NY 14850",,1986,,,Colonial,,,http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMMElDbGZ5cEg0Q1U&export=download,
126 North Sunset Dr,"126 North Sunset Dr, Ithaca, NY 14850",,1956,,,Ranch,,,http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMenBZWWhXbkU0Tms&export=download,
126 Sunset Dr,"126 Sunset Dr, Ithaca, NY 14850",,1929,LeRoy Burnham,,Colonial,,,http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMZ08wWVRJMm02RzQ&export=download,
126 Texas Lane,"126 Texas Lane, Ithaca, NY 14850",,1952,,,Ranch,,,http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMclpqeVVzZl84OTA&export=download,
127 Cambridge Pl,"127 Cambridge Pl, Ithaca, NY 14850",,1983,,,Colonial,,,http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMYXg3QWZQYnc4ajQ&export=download,
